instructor,course_title,course_id,professor_score
"Carleton, Amy",Advanced Writing in Bus Admin,61290,-25.2
"Przybylowicz, Samantha",Advanced Writing in Bus Admin,61366,5.7
"Edwards, Laurie",Adv Writing in the Health Prof,60254,2.7
"Gonso, Kathleen",Adv Writing in the Health Prof,60299,5.1
"Dedek, Michael",Adv Writing in the Sciences,60322,2.8
"Bunting, Galen",Adv Writing in the Sciences,60529,4.5
"McCarthy, Suzanne",Adv Writing in the Sciences,60522,-14.1
"Dedek, Michael",Adv Writing in the Sciences,61283,-5.9
"Nguyen, Duyen",Adv Writing in Social Sciences,60876,4.7
"Babin, Paul",Adv Writing in Social Sciences,61291,-0.7
"Olivier, Faviana",Advanced Writing for Prelaw,60528,0.6
"Zuch, Gregory",Adv Writing Arts/Media/Design,60771,-0.8
"Sirois, Carolyn",Adv Writing Arts/Media/Design,61333,1.8
"Flynn, Brigid",Interdisciplinary Adv Writing,60287,3.0
"Keeling, Bret",Interdisciplinary Adv Writing,60288,0.4
"Baer, Julie",Interdisciplinary Adv Writing,61292,3.0
"Schlotterback, Eamon",Interdisciplinary Adv Writing,60891,-3.6
"Gonso, Kathleen",Interdisciplinary Adv Writing,61038,3.9
"Benda, Jonathan",Interdisciplinary Adv Writing,60291,6.0
"Riordan, Jefferson",Interdisciplinary Adv Writing,60289,-11.4
"Garrett, Julia",Interdisciplinary Adv Writing,60290,4.7
"Lewis, Rachel",Interdisciplinary Adv Writing,60292,-7.6
"Akbari, Thomas",Interdisciplinary Adv Writing,60293,-1.1
"Riordan, Jefferson",Interdisciplinary Adv Writing,60294,-10.7
"Stephens, Alison",Interdisciplinary Adv Writing,60295,3.0
"Duggan, James",Interdisciplinary Adv Writing,60584,-0.7
"Ober, David",Interdisciplinary Adv Writing,60610,-13.3
"Havstad, Lillian",Interdisciplinary Adv Writing,61025,-12.5
"Akbari, Thomas",Interdisciplinary Adv Writing,61119,-4.3
"Kowalski, Gregory",Fund Energy Sys Integration,60805,0.9
"Forghan, Fariborz",Smart Grid,60839,9.7
"Golden, Stephen",Innovation!,60261,3.3
"Srikrishna, Kuppuswamy",Enterprise Growth  Innovation,60335,-2.7
"Marion, Tucker",Lean Innovation,60719,2.4
"Friar, John",Competing Dynamic/Innov Mkts,60510,3.3
"Marion, Tucker",Innovating  Creating Futures,61234,-1.8
"Showalter, Catherine",Reading in the Field of Study,54515,1.6
"Linnell, Kimberly",Culture  Comm Skills Grad Sch,53519,1.3
"Muscolino, Vincent",Financial Management,60039,1.3
"Muscolino, Vincent",Financial Management,60038,-1.4
"Muscolino, Vincent",Investments,60544,0.4
"Salem, Razan",Emerging Financial Markets,61150,-3.7
"Myers, David",Valuation  Value Creation,61151,1.3
"Kotsev, Rosen",Financial Modeling,60801,-1.6
"Yang, Shiawee",Real Estate Finance  Invstmnt,61153,5.0
"Marks, Joseph",Portfolio Management,60327,7.1
"Maloney, Stephen",Advanced Topics in Finance,61233,-14.9
"Zheng, Kuncheng",Corporate Finance,61462,1.4
"Maroun, George",Fin Mkts  Banking Postcrisis,61323,1.4
"Miller, Edward",Global Corp  Social Rspnsblty,52897,-2.7
"Bricker, Alisa",Game Design and Analysis,61340,1.1
"Turner, Catherine",Intro to Health Informatics,61344,0.0
"Chapin, Allison",Origins of Today,61241,-1.6
"Burds, Jeffrey",Espionage 2: Cold War Spies,61305,4.3
"Fraunholtz, Peter",The World Since 1945,60174,1.0
"Luongo, Katherine",The World Since 1945,61306,4.6
"Whitworth, William","Hitler, Germany  Holocaust",61094,-7.1
"Burds, Jeffrey",Assassinations - World History,61307,2.0
"O'Connor, Catherine",Interprof Ethics Ind/Pop Hlth,61263,-3.7
"Case, Patricia",Interdisc Spec Topics: Pop-up,61409,1.7
"Bernstein, Eugene",Alternative Medicine,60306,-2.9
"Gale, Kevan",Mindfulness: Theory  Practice,61458,5.6
"Duffy, Lisa",Healthcare Research,60787,-6.0
"Eddleston, Kimberly",Honors Seminar,61281,0.0
"Odom, Curtis",Managing People  Organizatns,61248,2.9
"Katz, Ralph",Creating Innovative Organizatn,60125,-1.3
"Kamarthi, Sagar",Special Topics in Indstrl Engr,61358,5.7
"Radhakrishnan, Srinivasan",Special Topics in Indstrl Engr,61358,3.8
"Guschin, Andrei",Lean Concepts and Applications,60438,-7.1
"Zaarour, Nizar",Engineering Probs  Stats,61355,5.8
"Fard, Nasser",Engineering Probs  Stats,61391,-1.9
"Dehghani Dehghani, Mohammad Mohammad",Engineering Probs  Stats,61491,4.6
"Dehghani Dehghani, Mohammad Mohammad",Simulation Analysis,60539,2.9
"Fard, Nasser",Stat Methods in Engineering,60155,-10.6
"Fard, Nasser",Rel Anlys  Risk Assessment,60284,-55.3
"Pei, Jinxiang",Special Topics in Indstrl Engr,61261,-3.2
"Bugrara, Khaled",Application Modeling  Design,61403,6.5
"Wang, Wuping",Data Mgt and Database Design,61375,0.1
"Guschin, Andrei",Business Analysis  Info Engr,61380,1.0
"Shi, Shiaoming",Account/Budgets for Engineers,61027,4.3
"Shi, Shiaoming",Account/Budgets for Engineers,61268,1.9
"Sternberg, Jeffrey",Digital Methods Soc Sci  Hum,61178,3.4
"Kowalcky, Linda",Experiential Integration,60602,-8.8
"Puffer, Sheila",Managing the Global Ent,60119,-8.2
"Mihajlovikj, Vidoje",Intro to Web Development,60777,-0.8
"Schedlbauer, Martin",Software Project Management,60879,4.0
"Carroll, Matthew",Spotlight: Jrnlsm  Democracy,61137,6.4
"Workman, Michael",Visual Storytelling in Jrnl,61138,-9.3
"Cooper, Adam",Intro to Lang  Linguistics,60333,-1.1
"Rainho, Marco",Mathematical Thinking,60139,-0.2
"Wu, Shu-Shih",Calculus 2 for Sci/Engr,60051,-3.7
"Rainho, Marco",Calculus 2 for Sci/Engr,60218,1.0
"Webber, Matthew",Linear Algebra,60050,-9.5
